"variable1","variable2","Indicator","variable_group_1","variable_group_2","variable3","variable_group_3","variable4","variable_group_4","indicator_title"
"ethnicity","ethnic group","4.2.1","ethnicity","ethnic group","gender","sex/gender",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnicity","gender","4.2.1","ethnicity","sex/gender",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"ethnicity","gender","4.2.1","ethnicity","sex/gender","ethnic group","ethnic group",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"free school meals","gender","4.2.1","wealth","sex/gender",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","ethnic group","4.2.1","sex/gender","ethnic group","ethnicity","ethnicity",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","ethnic group","4.2.1","sex/gender","ethnic group",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","ethnicity","4.2.1","sex/gender","ethnicity",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","ethnicity","4.2.1","sex/gender","ethnicity","ethnic group","ethnic group",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","free school meals","4.2.1","sex/gender","wealth",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","local authority","4.2.1","sex/gender","geography - low level",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","local authority","4.2.1","sex/gender","geography - low level","region","geography - mid-level",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","region","4.2.1","sex/gender","geography - mid-level",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"gender","region","4.2.1","sex/gender","geography - mid-level","local authority","geography - low level",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"local authority","gender","4.2.1","geography - low level","sex/gender",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"local authority","gender","4.2.1","geography - low level","sex/gender","region","geography - mid-level",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"local authority","region","4.2.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"local authority","region","4.2.1","geography - low level","geography - mid-level","gender","sex/gender",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"region","gender","4.2.1","geography - mid-level","sex/gender",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"region","gender","4.2.1","geography - mid-level","sex/gender","local authority","geography - low level",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"region","local authority","4.2.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"region","local authority","4.2.1","geography - mid-level","geography - low level","gender","sex/gender",NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"region","special educational needs","4.2.1","geography - mid-level","disability status etc",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"special educational needs","region","4.2.1","disability status etc","geography - mid-level",NA,NA,NA,NA,"4.2.1 Proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex"
"age","region","4.2.2","age","geography - mid-level",NA,NA,NA,NA,"4.2.2 Participation rate in organized learning (one year before the official primary entry age), by sex"
"region","age","4.2.2","geography - mid-level","age",NA,NA,NA,NA,"4.2.2 Participation rate in organized learning (one year before the official primary entry age), by sex"
"disability status","region","4.3.1","disability status etc","geography - mid-level",NA,NA,NA,NA,"4.3.1 Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
"region","disability status","4.3.1","geography - mid-level","disability status etc",NA,NA,NA,NA,"4.3.1 Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
"local authority","region","4.c.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"4.c.1 Proportion of teachers with the minimum required qualifications, by education level"
"region","local authority","4.c.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"4.c.1 Proportion of teachers with the minimum required qualifications, by education level"
"ethnic group","ethnicity","5.2.1","ethnic group","ethnicity",NA,NA,NA,NA,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
"ethnicity","ethnic group","5.2.1","ethnicity","ethnic group",NA,NA,NA,NA,"5.2.1 Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age"
"ethnic group","ethnicity","5.2.2","ethnic group","ethnicity",NA,NA,NA,NA,"5.2.2 Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
"ethnicity","ethnic group","5.2.2","ethnicity","ethnic group",NA,NA,NA,NA,"5.2.2 Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence"
"age","disability status","5.4.1","age","disability status etc",NA,NA,NA,NA,"5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location"
"age","sex","5.4.1","age","sex/gender",NA,NA,NA,NA,"5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location"
"disability status","age","5.4.1","disability status etc","age",NA,NA,NA,NA,"5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location"
"sex","age","5.4.1","sex/gender","age",NA,NA,NA,NA,"5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location"
"country","region","7.b.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"7.b.1 Installed renewable energy-generating capacity in developing countries (in watts per capita) "
"region","country","7.b.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"7.b.1 Installed renewable energy-generating capacity in developing countries (in watts per capita) "
"country","local authority","8.10.1","geography - high level","geography - low level","region","geography - mid-level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"country","local authority","8.10.1","geography - high level","geography - low level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"country","region","8.10.1","geography - high level","geography - mid-level","local authority","geography - low level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"country","region","8.10.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"country","urban or rural","8.10.1","geography - high level","geography - high level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"local authority","country","8.10.1","geography - low level","geography - high level","region","geography - mid-level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"local authority","country","8.10.1","geography - low level","geography - high level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"local authority","region","8.10.1","geography - low level","geography - mid-level","country","geography - high level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"local authority","region","8.10.1","geography - low level","geography - mid-level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"region","country","8.10.1","geography - mid-level","geography - high level","local authority","geography - low level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"region","country","8.10.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"region","local authority","8.10.1","geography - mid-level","geography - low level","country","geography - high level",NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"region","local authority","8.10.1","geography - mid-level","geography - low level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"urban or rural","country","8.10.1","geography - high level","geography - high level",NA,NA,NA,NA,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
"age","sex","8.10.2","age","sex/gender",NA,NA,NA,NA,"8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider"
"sex","age","8.10.2","sex/gender","age",NA,NA,NA,NA,"8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider"
"country","sex","8.3.1","geography - high level","sex/gender",NA,NA,NA,NA,"8.3.1 Proportion of informal employment in total employment, by sector and sex"
"sex","country","8.3.1","sex/gender","geography - high level",NA,NA,NA,NA,"8.3.1 Proportion of informal employment in total employment, by sector and sex"
"age","sex","8.5.1","age","sex/gender",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"country","region","8.5.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"country","region","8.5.1","geography - high level","geography - mid-level","sex","sex/gender",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"country","sex","8.5.1","geography - high level","sex/gender",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"country","sex","8.5.1","geography - high level","sex/gender","region","geography - mid-level",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"region","country","8.5.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"region","country","8.5.1","geography - mid-level","geography - high level","sex","sex/gender",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"region","sex","8.5.1","geography - mid-level","sex/gender",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"region","sex","8.5.1","geography - mid-level","sex/gender","country","geography - high level",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"sex","age","8.5.1","sex/gender","age",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"sex","country","8.5.1","sex/gender","geography - high level",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"sex","country","8.5.1","sex/gender","geography - high level","region","geography - mid-level",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"sex","region","8.5.1","sex/gender","geography - mid-level",NA,NA,NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"sex","region","8.5.1","sex/gender","geography - mid-level","country","geography - high level",NA,NA,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
"age","sex","8.5.2","age","sex/gender",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"country","region","8.5.2","geography - high level","geography - mid-level",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"country","region","8.5.2","geography - high level","geography - mid-level","sex","sex/gender",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"country","sex","8.5.2","geography - high level","sex/gender",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"country","sex","8.5.2","geography - high level","sex/gender","region","geography - mid-level",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"disability status","sex","8.5.2","disability status etc","sex/gender",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"region","country","8.5.2","geography - mid-level","geography - high level",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"region","country","8.5.2","geography - mid-level","geography - high level","sex","sex/gender",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"region","sex","8.5.2","geography - mid-level","sex/gender",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"region","sex","8.5.2","geography - mid-level","sex/gender","country","geography - high level",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","age","8.5.2","sex/gender","age",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","country","8.5.2","sex/gender","geography - high level",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","country","8.5.2","sex/gender","geography - high level","region","geography - mid-level",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","disability status","8.5.2","sex/gender","disability status etc",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","region","8.5.2","sex/gender","geography - mid-level",NA,NA,NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"sex","region","8.5.2","sex/gender","geography - mid-level","country","geography - high level",NA,NA,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
"age","sex","8.6.1","age","sex/gender",NA,NA,NA,NA,"8.6.1 Proportion of youth (aged 15-24 years) not in education, employment or training"
"sex","age","8.6.1","sex/gender","age",NA,NA,NA,NA,"8.6.1 Proportion of youth (aged 15-24 years) not in education, employment or training"
"age","sex","8.8.1","age","sex/gender",NA,NA,NA,NA,"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"country","region","8.8.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"region","country","8.8.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"sex","age","8.8.1","sex/gender","age",NA,NA,NA,NA,"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
"country","local authority","9.1.1","geography - high level","geography - low level",NA,NA,NA,NA,"9.1.1 Proportion of the rural population who live within 2 km of an all-season road"
"local authority","country","9.1.1","geography - low level","geography - high level",NA,NA,NA,NA,"9.1.1 Proportion of the rural population who live within 2 km of an all-season road"
"country","region","9.5.1","geography - high level","geography - mid-level",NA,NA,NA,NA,"9.5.1 Research and development expenditure as a proportion of GDP"
"region","country","9.5.1","geography - mid-level","geography - high level",NA,NA,NA,NA,"9.5.1 Research and development expenditure as a proportion of GDP"
